PostID,UserID,Content,Timestamp,Likes,Retweets,Hashtags,SentimentScore
164,7,Such a smooth interface!,2026-05-30 03:47:00,24,26,"#AI,#mood",-0.07
165,7,Can’t stop using it!,2026-05-29 07:47:00,137,38,#tech,0.34
166,5,Worst experience ever.,2026-05-26 19:47:00,36,28,"#bug,#social,#fail",0.68
167,4,Loving the new update!,2026-06-03 16:47:00,42,35,#mood,-0.24
168,7,Absolutely love the UX!,2026-06-03 12:47:00,71,30,#design,0.63
169,7,Loving the new update!,2026-05-31 22:47:00,118,0,"#love,#social,#AI",-0.15
170,6,Absolutely love the UX!,2026-06-02 01:47:00,31,20,"#tech,#bug",-0.69
171,6,Such a smooth interface!,2026-05-27 16:47:00,118,4,#bug,-0.32
172,6,Such a smooth interface!,2026-05-30 03:47:00,107,25,"#fail,#design,#bug",-0.12
173,9,Absolutely love the UX!,2026-06-01 01:47:00,112,17,"#bug,#fail,#love",-0.63
174,3,Absolutely love the UX!,2026-05-25 21:47:00,27,34,"#social,#AI,#tech",-0.93
175,10,Can’t stop using it!,2026-05-30 14:47:00,24,27,"#cleanUI,#fail",0.86
176,6,Loving the new update!,2026-05-30 21:47:00,43,34,"#cleanUI,#AI,#bug",-0.3
177,8,Needs dark mode ASAP!,2026-05-28 02:47:00,83,7,"#love,#AI",-0.04
178,5,Absolutely love the UX!,2026-06-02 06:47:00,21,18,#tech,0.89
179,8,Just another day...,2026-05-27 02:47:00,114,9,#fail,0.36
180,10,Worst experience ever.,2026-05-27 00:47:00,33,14,#tech,-0.73
181,10,Absolutely love the UX!,2026-05-29 09:47:00,139,12,#UX,-0.15
182,6,Great performance on mobile.,2026-06-04 10:47:00,49,25,"#fail,#UX,#love",-0.88
183,10,Absolutely love the UX!,2026-06-04 11:47:00,133,35,#tech,0.16
184,9,Can’t stop using it!,2026-05-27 16:47:00,122,16,"#AI,#bug",-0.1
185,2,Needs dark mode ASAP!,2026-05-30 14:47:00,69,15,"#design,#AI",-0.03
186,2,I’m impressed with the speed.,2026-05-26 08:47:00,40,21,#fail,0.58
187,6,Such a smooth interface!,2026-06-02 14:47:00,53,43,"#AI,#love,#social",0.58
188,4,Can’t stop using it!,2026-05-30 18:47:00,131,4,"#AI,#mood",0.78
189,9,I’m impressed with the speed.,2026-05-28 02:47:00,141,18,#design,0.14
190,6,Absolutely love the UX!,2026-05-31 11:47:00,26,22,#AI,0.51
191,6,Can’t stop using it!,2026-05-30 13:47:00,40,12,"#bug,#cleanUI,#love",-0.07
192,10,Loving the new update!,2026-05-25 23:47:00,42,40,"#social,#fail,#love",0.83
193,9,Such a smooth interface!,2026-05-30 03:47:00,91,17,"#design,#fail",0.56
194,8,Such a smooth interface!,2026-05-30 09:47:00,44,6,"#UX,#fail,#love",0.86
195,10,Just another day...,2026-06-04 12:47:00,59,9,"#mood,#fail",-0.55
196,5,Can’t stop using it!,2026-05-27 06:47:00,12,46,"#fail,#tech",0.56
197,2,Just another day...,2026-05-30 11:47:00,25,29,#bug,0.29
198,6,Such a smooth interface!,2026-05-25 18:47:00,147,18,#UX,-0.96
199,8,Just another day...,2026-05-31 02:47:00,62,17,"#bug,#AI,#cleanUI",0.03
200,4,Great performance on mobile.,2026-06-03 14:47:00,66,48,"#tech,#mood",-0.41
